player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
JH Kallis,83,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
G Gambhir,15,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
TL Suman,2,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
AT Rayudu,22,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
"RG Sharma, DS Kulkarni",14,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Harbhajan Singh,47,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
RN ten Doeschate,78,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
L Balaji,0,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
KA Pollard,11,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
MM Patel,50,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
CH Gayle,102,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
MA Agarwal,51,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
AC Blizzard,12,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
AB de Villiers,41,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
JEC Franklin,24,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
SR Tendulkar,45,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
SS Tiwary,8,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
SL Malinga,17,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
DL Vettori,83,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
V Kohli,8,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
Z Khan,33,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
RG Sharma,22,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
S Aravind,50,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
LA Pomersbach,26,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
AT Rayudu,0,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
Harbhajan Singh,16,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
AN Ahmed,54,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
R Sathish,15,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
KA Pollard,28,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
J Syed Mohammad,50,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
A Mithun,8,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians
MS Dhoni,34,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore
