player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
JM Sharma,13,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
M Jansen,8,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
LS Livingstone,63,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
JM Bairstow,14,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
RD Chahar,50,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
B Kumar,75,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
J Suchith,33,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
VG Arora,0,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
M Shahrukh Khan,45,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
OF Smith,15,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
P Simran Singh,16,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
S Dhawan,17,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
KS Williamson,19,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
AK Markram,47,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
Umran Malik,141,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
RA Tripathi,40,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,Sunrisers Hyderabad
RV Uthappa,7,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
MS Dhoni,8,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
AS Joseph,58,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
V Shankar,8,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
RA Jadeja,59,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
LH Ferguson,25,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
DA Miller,110,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
Yash Dayal,25,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
M Theekshana,50,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
"DA Miller, LH Ferguson",14,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
Mohammed Shami,33,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
Shubman Gill,0,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
Rashid Khan,48,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
R Tewatia,6,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
AT Rayudu,54,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
A Manohar,22,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
CJ Jordan,8,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
RD Gaikwad,94,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
MM Ali,15,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
DJ Bravo,75,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
S Dube,21,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
Mukesh Choudhary,25,Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
WP Saha,7,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings,Gujarat Titans
SS Iyer,88,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
VR Iyer,6,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
SP Jackson,8,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
AD Russell,25,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
SP Narine,58,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
R Ashwin,35,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
R Parag,12,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
SO Hetmyer,40,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
UT Yadav,24,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
AJ Finch,59,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
JC Buttler,125,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
CV Varun,9,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
D Padikkal,25,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
SV Samson,69,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
Shivam Mavi,41,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
YS Chahal,133,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
KK Nair,11,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
OC McCoy,58,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
PJ Cummins,33,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
M Prasidh Krishna,33,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
N Rana,21,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
TA Boult,25,Rajasthan Royals,"Brabourne Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
JR Hazlewood,108,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
A Badoni,13,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
DJ Hooda,20,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
Shahbaz Ahmed,29,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
MK Pandey,7,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
KL Rahul,39,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
GJ Maxwell,61,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
KD Karthik,31,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
F du Plessis,109,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
Anuj Rawat,1,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
KH Pandya,78,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
PWH de Silva,0,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
MP Stoinis,32,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
V Kohli,0,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
Q de Kock,3,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
JO Holder,101,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
Mohammed Siraj,33,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
"KL Rahul, JO Holder",14,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
SS Prabhudessai,16,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
PVD Chameera,49,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
Avesh Khan,0,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
Ravi Bishnoi,0,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
HV Patel,58,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Lucknow Super Giants
RR Pant,50,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
KK Ahmed,50,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
Arshdeep Singh,11,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
Kuldeep Yadav,66,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
MA Agarwal,26,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
SN Khan,11,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
Mustafizur Rahman,66,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
DA Warner,66,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
JM Sharma,37,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
R Powell,8,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
LS Livingstone,2,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
Lalit Yadav,50,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
PP Shaw,46,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
NT Ellis,8,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
JM Bairstow,11,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
RD Chahar,40,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
VG Arora,2,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
M Shahrukh Khan,12,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
S Dhawan,8,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
AR Patel,58,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
SN Thakur,0,Delhi Capitals,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
K Rabada,2,Punjab Kings,"Brabourne Stadium, Mumbai",Punjab Kings,Delhi Capitals
DR Sams,106,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
MS Dhoni,39,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
Ishan Kishan,6,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
Tilak Varma,68,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
HR Shokeen,28,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
D Pretorius,26,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
JD Unadkat,88,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
RA Jadeja,-1,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
RP Meredith,25,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
MJ Santner,42,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
M Theekshana,25,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
JJ Bumrah,0,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
D Brevis,12,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
RD Gaikwad,0,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
RG Sharma,0,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
AT Rayudu,44,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
SA Yadav,37,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
RV Uthappa,42,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
DJ Bravo,59,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
S Dube,23,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
Mukesh Choudhary,91,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
KA Pollard,23,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,Chennai Super Kings
RR Pant,48,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
KK Ahmed,33,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
Kuldeep Yadav,0,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
SN Khan,1,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
Mustafizur Rahman,25,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
R Ashwin,50,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
DA Warner,43,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
R Parag,0,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
R Powell,44,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
SO Hetmyer,1,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
Lalit Yadav,42,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
PP Shaw,36,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
JC Buttler,141,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
D Padikkal,71,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
SV Samson,75,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
YS Chahal,33,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
OC McCoy,25,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
AR Patel,1,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
SN Thakur,12,Delhi Capitals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
M Prasidh Krishna,83,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
"SV Samson, R Parag",14,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
TA Boult,33,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
HH Pandya,67,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
AS Joseph,26,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
SS Iyer,13,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
VR Iyer,23,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
RK Singh,71,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
TG Southee,76,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
SP Narine,6,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
AD Russell,159,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
LH Ferguson,41,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
DA Miller,30,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
Yash Dayal,50,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
UT Yadav,59,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
Mohammed Shami,50,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
CV Varun,0,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
Shubman Gill,8,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
Rashid Khan,56,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
R Tewatia,17,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
Shivam Mavi,27,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
A Manohar,8,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
N Rana,2,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
SW Billings,11,Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
WP Saha,57,Gujarat Titans,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,Kolkata Knight Riders
JR Hazlewood,3,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
AK Markram,16,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
Abhishek Sharma,57,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
Shahbaz Ahmed,4,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
T Natarajan,91,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
N Pooran,36,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
GJ Maxwell,10,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
KD Karthik,0,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
F du Plessis,6,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
Anuj Rawat,8,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
M Jansen,83,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
PWH de Silva,7,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
Mohammed Siraj,2,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
V Kohli,0,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
J Suchith,50,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
Umran Malik,25,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
SS Prabhudessai,12,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
KS Williamson,30,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
B Kumar,25,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
HV Patel,27,Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
RA Tripathi,9,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,Sunrisers Hyderabad
DR Sams,26,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
A Badoni,41,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
DJ Hooda,19,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
Ishan Kishan,6,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
Tilak Varma,42,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
HR Shokeen,8,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
MK Pandey,24,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
JD Unadkat,1,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
K Gowtham (sub),8,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
"KH Pandya, JO Holder",14,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
KL Rahul,117,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
RP Meredith,58,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
KH Pandya,101,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
MP Stoinis,0,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
Q de Kock,12,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
JO Holder,33,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
JJ Bumrah,25,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
D Brevis,11,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
RG Sharma,52,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
PVD Chameera,8,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
SA Yadav,8,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
Ravi Bishnoi,41,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
Mohsin Khan,25,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
KA Pollard,75,Mumbai Indians,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians
MS Dhoni,13,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
PBB Rajapaksa,42,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
D Pretorius,1,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
Arshdeep Singh,33,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
MA Agarwal,22,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
RA Jadeja,16,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
MJ Santner,6,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
M Theekshana,25,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
LS Livingstone,22,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
JM Bairstow,15,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
RD Chahar,0,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
RD Gaikwad,30,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
"MJ Santner, MS Dhoni",14,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
R Dhawan,66,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
Mukesh Choudhary,8,Chennai Super Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
S Dhawan,87,Punjab Kings,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
